Щитовидная железа: симптомы … на шее,http://www.happy-giraffe.ru/community/33/forum/post/48650/,+,+,,,,,,,,,,,,
Цитомегаловирус: симптомы напоминают ОРЗ,http://www.happy-giraffe.ru/community/33/forum/post/48669/,+,+,,,,,,,,,,,,
"5 признаков, которые помогут распознать желудочный грипп",http://www.happy-giraffe.ru/community/33/forum/post/48904/,+,+,,,,,,,,,,,,
Матка увеличена: причины и симптомы,http://www.happy-giraffe.ru/community/33/forum/post/49433/,+,+,,,,,,,,,,,,
Онемение рук — безобидный симптом или что-то серьезное?,http://www.happy-giraffe.ru/community/33/forum/post/49664/,+,+,,,,,,,,,,,,
Признаки высокого давления: болезнь или физиологическая реакция,http://www.happy-giraffe.ru/community/33/forum/post/49753/,+,+,,,,,,,,,,,,
"Рак легких: симптомы нужно знать, чтобы не допустить беды",http://www.happy-giraffe.ru/community/33/forum/post/49770/,+,+,,,,,,,,,,,,
Часто болит голова? Примите наши советы к сведению,http://www.happy-giraffe.ru/community/33/forum/post/49988/,+,+,,,,,,,,,,,,
"Заболевания щитовидной железы: признаки, причины и лечение",http://www.happy-giraffe.ru/community/33/forum/post/50006/,+,+,,,,,,,,,,,,
"Симптомы диабета. Будьте начеку, ибо мы почти все находимся в группе риска",http://www.happy-giraffe.ru/community/33/forum/post/50053/,+,+,,,,,,,,,,,,
"Шум в ухе — не болезнь, а расстройство",http://www.happy-giraffe.ru/community/33/forum/post/50069/,+,+,,,,,,,,,,,,
Сыпь на теле? Как узнать причину её возникновения?,http://www.happy-giraffe.ru/community/33/forum/post/50629/,+,+,,,,,,,,,,,,
Сыпь на грудной клетке: ТОП-6 причин ее появления,http://www.happy-giraffe.ru/community/33/forum/post/50642/,+,+,,,,,,,,,,,,
Микроинсульт: признаки и меры для его предотвращения,http://www.happy-giraffe.ru/community/33/forum/post/50747/,+,+,,,,,,,,,,,,
Цистит: симптомы и причины возникновения заболевания,http://www.happy-giraffe.ru/community/33/forum/post/51143/,+,+,,,,,,,,,,,,
Если болит левый бок: помогаем себе выжить!,http://www.happy-giraffe.ru/community/33/forum/post/51147/,+,+,,,,,,,,,,,,
Кашель с мокротой. Лечение обязательно!,http://www.happy-giraffe.ru/community/33/forum/post/51168/,+,+,,,,,,,,,,,,
Рак матки: симптомы и первые тревожные «звоночки»,http://www.happy-giraffe.ru/community/33/forum/post/51181/,+,+,,,,,,,,,,,,
Рак груди: симптомы можно обнаружить самостоятельно!,http://www.happy-giraffe.ru/community/33/forum/post/51206/,+,+,,,,,,,,,,,,
Гормональный сбой по-женски - он или не он?,http://www.happy-giraffe.ru/community/33/forum/post/51221/,+,+,,,,,,,,,,,,
Признаки воспаления легких: как распознать вовремя опасное заболевание,http://www.happy-giraffe.ru/community/33/forum/post/51243/,+,+,,,,,,,,,,,,
"Менопауза: симптомы, которые нужно знать всем женщинам",http://www.happy-giraffe.ru/community/33/forum/post/51389/,+,+,,,,,,,,,,,,
Если боль в суставах на первом месте в рейтинге ваших неприятностей…,http://www.happy-giraffe.ru/community/33/forum/post/51470/,+,+,,,,,,,,,,,,
Если болит грудь после месячных?,http://www.happy-giraffe.ru/community/33/forum/post/51644/,+,+,,,,,,,,,,,,
Симптомы перед месячными: как облегчить состояние,http://www.happy-giraffe.ru/community/33/forum/post/51658/,+,+,,,,,,,,,,,,
Заложенность уха: 5 самых необычных способов избавления,http://www.happy-giraffe.ru/community/33/forum/post/51668/,+,+,,,,,,,,,,,,
Остеохондроз грудного отдела позвоночника легко перепутать с другими заболеваниями,http://www.happy-giraffe.ru/community/33/forum/post/51678/,+,+,,,,,,,,,,,,
"Позвоночная грыжа: симптомы, диагностика и лечение народными средствами",http://www.happy-giraffe.ru/community/33/forum/post/51686/,+,+,,,,,,,,,,,,
"Болезни кишечника: симптомы, которые нельзя пропустить",http://www.happy-giraffe.ru/community/33/forum/post/51697/,+,+,,,,,,,,,,,,
"Как самостоятельно выяснить, из-за чего возникла боль в груди?",http://www.happy-giraffe.ru/community/33/forum/post/51700/,+,+,,,,,,,,,,,,
Как проявляются признаки цистита?,http://www.happy-giraffe.ru/community/33/forum/post/51749/,+,+,,,,,,,,,,,,
Будьте внимательны: увеличенный лимфоузел под мышкой!,http://www.happy-giraffe.ru/community/33/forum/post/51780/,+,+,,,,,,,,,,,,
Мерцательная аритмия: симптомы и применяемые лекарства,http://www.happy-giraffe.ru/community/33/forum/post/51785/,+,+,,,,,,,,,,,,
Боль в низу живота у мужчин. При каких болезнях она бывает?,http://www.happy-giraffe.ru/community/33/forum/post/53403/,+,+,,,,,,,,,,,,
Повышенное внутричерепное давление: симптомы у взрослых,http://www.happy-giraffe.ru/community/33/forum/post/53419/,+,+,,,,,,,,,,,,
"Гепатомегалия печени — не болезнь, а угрожающий симптом",http://www.happy-giraffe.ru/community/33/forum/post/53449/,+,+,,,,,,,,,,,,
Кокцигодиния: причины и симптомы коварной болезни,http://www.happy-giraffe.ru/community/33/forum/post/53487/,+,+,,,,,,,,,,,,
Почему появляются красные точки на теле?,http://www.happy-giraffe.ru/community/33/forum/post/53519/,+,+,,,,,,,,,,,,
Сыпь на теле у взрослого: самые распространенные причины,http://www.happy-giraffe.ru/community/33/forum/post/54336/,+,+,,,,,,,,,,,,
Как проявляются симптомы ветрянки у взрослых?,http://www.happy-giraffe.ru/community/33/forum/post/54338/,+,+,,,,,,,,,,,,
Боли в левом боку – где болит и кто лечит?,http://www.happy-giraffe.ru/community/33/forum/post/55684/,+,+,,,,,,,,,,,,
Осторожно! Геморрагическая сыпь!,http://www.happy-giraffe.ru/community/33/forum/post/55865/,+,+,,,,,,,,,,,,
Почему падает давление: топ-5 основных причин,http://www.happy-giraffe.ru/community/33/forum/post/56111/,+,+,,,,,,,,,,,,
Моча с кровью или гематурия,http://www.happy-giraffe.ru/community/33/forum/post/57364/,+,+,,,,,,,,,,,,
Онемение рук – причины развития у взрослых,http://www.happy-giraffe.ru/community/33/forum/post/57368/,+,+,,,,,,,,,,,,
Поликистоз яичников: симптомы общие и специфические,http://www.happy-giraffe.ru/community/33/forum/post/57640/,+,+,,,,,,,,,,,,
Резкое похудение: причины и действия,http://www.happy-giraffe.ru/community/33/forum/post/57965/,+,+,,,,,,,,,,,,
Что такое храп? Причины его возникновения,http://www.happy-giraffe.ru/community/33/forum/post/58533/,+,+,,,,,,,,,,,,
Защемление нерва в ноге – как унять эту боль?,http://www.happy-giraffe.ru/community/33/forum/post/58988/,+,+,,,,,,,,,,,,
"Выделения из молочной железы: когда — норма, когда — нет?",http://www.happy-giraffe.ru/community/33/forum/post/61486/,+,+,,,,,,,,,,,,
"Щитовидная железа: симптомы у мужчин, которые должен знать каждый!",http://www.happy-giraffe.ru/community/33/forum/post/62505/,+,+,,,,,,,,,,,,
Микроинсульт: симптомы всё-таки можно заметить!,http://www.happy-giraffe.ru/community/33/forum/post/64812/,+,+,,,,,,,,,,,,
Последствия солнечного удара: учимся распознавать,http://www.happy-giraffe.ru/community/33/forum/post/93427/,+,+,,,,,,,,,,,,
Как распознать синдром Стивенса-Джонсона?,http://www.happy-giraffe.ru/community/33/forum/post/93441/,+,+,,,,,,,,,,,,
Шейный остеохондроз и давление: есть ли связь?,http://www.happy-giraffe.ru/community/33/forum/post/93517/,+,+,,,,,,,,,,,,
Язык обложен белым налетом: почему?,http://www.happy-giraffe.ru/community/33/forum/post/93919/,+,+,,,,,,,,,,,,
Собралась жидкость в легких – что это значит?,http://www.happy-giraffe.ru/community/33/forum/post/94750/,+,+,,,,,,,,,,,,
О чем свидетельствует боль под коленом?,http://www.happy-giraffe.ru/community/33/forum/post/94790/,+,+,,,,,,,,,,,,
Болит глаз при моргании: есть ли повод для беспокойства?,http://www.happy-giraffe.ru/community/33/forum/post/94793/,+,+,,,,,,,,,,,,
